Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"7,092","4,317","8,183","9,578","12,252"
,United Arab Emirates,"4,943","3,672","4,903","5,045","7,930"
,United States of America,,,,,"2,765"
,Bahrain,291,,"1,304","2,756",785
,"Iran, Islamic Republic of",332,156,378,273,366
,India,91,16,4,160,212
,Italy,,,138,694,133
,China,77,51,275,59,46
,Thailand,,,,,16
,Turkmenistan,,,61,,
,"Congo, Democratic Republic of the",207,155,68,,
,Iraq,107,,,,
,Lithuania,,,35,18,
,Poland,,,115,,
,Saudi Arabia,430,,,377,
,Singapore,,,52,,
,Spain,,,,78,
,Switzerland,,,849,33,
,Türkiye,,268,,,
,United Kingdom,613,,,,
,"Tanzania, United Republic of",,,,86,
