1	2	3,1,2,3
1,2,3
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"27,877","30,642","35,733","39,615","37,129"
,Kenya,"21,580","21,006","26,415","30,043","26,205"
,India,"2,609","3,292","3,716","4,191","4,755"
,China,"1,432","3,061","2,386","2,547","2,990"
,Egypt,170,115,165,43,792
,Türkiye,79,252,296,255,525
,"Tanzania, United Republic of","1,153",850,871,972,404
,South Africa,226,267,433,146,233
,United Arab Emirates,59,134,84,189,224
,Philippines,35,85,359,118,220
,Netherlands,51,122,253,180,203
,Peru,0,,,,129
,United States of America,13,57,93,108,112
,Germany,97,718,76,411,60
,Norway,0,,51,,59
,Singapore,9,19,18,38,35
,France,20,25,8,1,33
,Colombia,0,,,,29
,United Kingdom,13,73,16,12,29
,Belgium,57,44,14,31,17
,Italy,31,1,23,177,14
,Malaysia,30,44,30,46,12
,Pakistan,9,28,7,2,12
,Spain,17,36,,5,8
,Japan,7,2,4,5,7
1	2	3,1,2,3
1,2,3
