Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"85,705","87,172","92,048","85,985","95,852"
,"Congo, Democratic Republic of the","49,934","41,492","32,072","40,937","61,777"
,South Sudan,"34,453","38,248","44,635","39,381","30,282"
,"Tanzania, United Republic of","1,190","6,391","3,258",688,"2,335"
,Sudan,11,9,127,798,"1,369"
,Rwanda,,"1,026","11,953","4,011",57
,Burundi,90,,4,140,32
,Central African Republic,,,1,,
,Congo,,,,29,
,Denmark,,,,1,
,France,0,,,,
,Germany,,2,,,
,Kenya,23,4,0,,
,Ukraine,3,,,,
,United States of America,1,,,,
