Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"4,123","3,323","3,767","5,025","3,129"
,China,329,243,368,"1,491","2,029"
,United Arab Emirates,"3,038","2,275","2,988","3,385",996
,"Korea, Republic of",24,47,82,62,44
,India,43,22,71,60,33
,Türkiye,0,192,,,14
,Kenya,9,10,15,23,12
,South Africa,0,,,4,2
,Germany,0,,1,,
,"Iran, Islamic Republic of",0,,241,,
,United States of America,2,,,,
,Zambia,678,534,,,
