1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"15,031","17,965","14,701","17,142","17,370"
,China,"4,829","8,449","6,199","8,127","7,639"
,India,"6,600","6,536","5,330","5,637","4,856"
,Viet Nam,"1,231","1,310","1,552","1,900","3,501"
,United Arab Emirates,255,129,373,537,808
,Kenya,99,138,169,204,186
,"Hong Kong, China",,,,65,110
,Germany,73,58,446,323,50
,Austria,138,50,26,29,49
,South Africa,13,253,95,54,46
,"Korea, Republic of",71,36,155,51,37
,Hungary,,1,70,25,30
,"Tanzania, United Republic of",207,46,23,30,30
,"Taipei, Chinese",29,,,,24
,Australia,,,3,,1
,Netherlands,,,,19,1
,Thailand,,,,,1
,Egypt,,1,3,4,1
,Brazil,,39,,,
,Czech Republic,,,7,,
,Denmark,,,1,,
,France,2,7,,26,
,Georgia,,,12,,
,Greece,,22,,,
,Italy,,,,5,
1	2,1,2
1,2
