1	2	3,1,2,3
1,2,3
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"178,795","183,426","212,590","281,458","298,396"
,Japan,"146,736","150,439","175,826","233,976","253,649"
,Germany,"3,545","4,959","5,561","9,390","11,379"
,United Kingdom,"8,253","8,973","8,047","11,428","10,041"
,Thailand,"1,798","1,966","2,949","3,836","4,362"
,India,"1,121","1,148","2,279","2,393","3,294"
,China,"2,279",101,200,"4,020","3,137"
,United Arab Emirates,"4,819","4,099","4,249","2,972","2,430"
,United States of America,865,"1,487","3,380","1,927","2,191"
,South Africa,"3,826","2,527","2,248","3,027","1,732"
,Australia,"1,164",731,917,"1,111","1,617"
,Singapore,"1,685","2,144","1,359",801,867
,"Korea, Republic of",539,847,828,"1,054",684
,Austria,26,,146,57,581
,"Hong Kong, China",95,94,444,870,543
,Slovakia,168,160,379,249,364
,Sweden,169,183,169,263,324
,Indonesia,101,95,600,"2,585",200
,Romania,354,"1,987",237,210,193
,Mexico,0,,,,126
,Belgium,207,116,650,46,112
,France,66,284,271,97,104
,Canada,190,242,208,120,84
,Guinea,0,,,,63
,Spain,63,184,26,239,43
1	2	3,1,2,3
1,2,3
