Bilateral 4 digits,Importers,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024
,World,"69,452","85,705","87,172","92,048","85,985"
,"Congo, Democratic Republic of the","41,734","49,934","41,492","32,072","40,937"
,South Sudan,"27,577","34,453","38,248","44,635","39,381"
,Rwanda,0,,"1,026","11,953","4,011"
,Sudan,95,11,9,127,798
,"Tanzania, United Republic of",0,"1,190","6,391","3,258",688
,Burundi,39,90,,4,140
,Congo,0,,,,29
,Denmark,0,,,,1
,Central African Republic,7,,,1,
,France,0,0,,,
,Germany,0,,2,,
,Kenya,0,23,4,0,
,Ukraine,0,3,,,
,United States of America,0,1,,,
