1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"77,358","132,924","156,613","152,192","157,143"
,India,"63,313","118,098","139,042","133,004","130,195"
,China,"12,134","13,758","16,444","17,431","26,062"
,Japan,"1,526",776,836,"1,399",700
,South Africa,99,93,93,27,76
,United States of America,27,7,10,13,33
,United Arab Emirates,30,5,1,3,18
,Switzerland,0,,,,15
,Italy,3,0,4,,12
,United Kingdom,49,10,13,4,7
,Austria,0,10,,,5
,Germany,25,115,35,47,5
,"Taipei, Chinese",8,3,,109,3
,Netherlands,134,21,,2,3
,Spain,0,,,,3
,Canada,2,3,4,,2
,Brazil,0,,,,1
,Denmark,0,8,2,,1
,"Hong Kong, China",3,2,2,2,1
,Kenya,0,,7,22,0
,South Sudan,0,0,47,,
,Australia,0,9,8,126,
,Myanmar,2,,,,
,"Congo, Democratic Republic of the",2,,,,
,France,1,1,,,
1	2,1,2
1,2
