1	2	3	4,1,2,3,4
1,2,3,4
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"294,512","287,073","317,054","344,342","263,417"
,India,"177,827","177,627","198,556","229,401","152,919"
,China,"16,239","14,690","21,970","24,160","29,601"
,Kenya,"17,528","19,041","21,914","21,284","23,922"
,Netherlands,"2,583","2,108","3,480","5,837","6,783"
,Egypt,"3,637","4,800","6,445","5,990","5,791"
,United Kingdom,"4,921","5,444","5,641","4,849","4,444"
,Jordan,"2,189","3,142","3,661","2,682","4,338"
,Germany,"4,064","5,930","4,097","4,758","4,173"
,France,"13,839","6,006","5,491","7,847","4,041"
,Belgium,"1,448","6,232","3,485","8,124","3,333"
,Pakistan,"1,565","2,041","2,081","2,945","3,047"
,South Africa,"3,608","2,136","3,014","2,304","2,403"
,Thailand,"1,089","1,096","1,597","2,260","2,330"
,United States of America,"14,335","4,931","12,021","3,293","1,723"
,Cyprus,"1,607","1,855","2,108","1,542","1,497"
,Türkiye,612,714,899,"1,678","1,464"
,Italy,"1,709",750,"1,255","2,818","1,322"
,"Korea, Republic of","1,842","1,829","5,929","2,478","1,270"
,Argentina,14,69,119,232,954
,Bangladesh,367,183,385,622,707
,Spain,550,307,590,580,666
,Japan,65,88,185,5,649
,United Arab Emirates,"2,909","5,754","2,850",288,612
,Switzerland,"10,545","11,990","1,780","1,598",563
1	2	3	4,1,2,3,4
1,2,3,4
