1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"9,529","8,048","7,485","10,998","9,756"
,India,"7,201","5,212","5,077","7,330","5,182"
,China,186,243,492,"1,294","1,662"
,Kenya,892,945,807,564,718
,United Arab Emirates,148,49,291,545,642
,Egypt,454,421,268,248,568
,Italy,13,,,169,230
,Germany,179,374,94,270,176
,Austria,,119,1,33,135
,Türkiye,7,139,16,14,123
,Rwanda,6,,3,71,109
,Canada,,,,,50
,United States of America,99,85,56,28,41
,Spain,71,252,152,136,39
,Belgium,36,61,12,17,22
,South Africa,7,74,2,6,16
,United Kingdom,19,7,7,29,15
,"Korea, Republic of",,,1,,10
,Portugal,5,6,36,6,8
,Netherlands,174,6,72,32,2
,"Tanzania, United Republic of",,,,,2
,Australia,,,,,1
,Sri Lanka,,,,,1
,Georgia,,,,,1
,Malaysia,27,,,1,1
1	2,1,2
1,2
