Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"166,659","171,410","140,299","162,154","187,235"
,Kenya,"96,496","74,674","121,402","107,648","109,881"
,Pakistan,,"7,043",7,"7,202","43,146"
,United Arab Emirates,"33,928","41,010","13,084","41,592","12,129"
,Viet Nam,,,,,"7,902"
,Saudi Arabia,"5,901","25,779","3,953","3,695","5,221"
,Rwanda,,,,21,"4,433"
,Egypt,"26,372","22,848","1,797","1,635","2,217"
,"Tanzania, United Republic of",219,41,28,336,"1,615"
,Oman,"3,695",,,,625
,China,2,9,17,5,25
,South Sudan,,,4,8,23
,Chinese Taipei,,,,,15
,India,24,2,2,,2
,United States of America,,,,,1
,France,4,,6,6,
,Germany,,0,,,
,Italy,1,,,,
,Türkiye,17,4,,4,
