Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"74,237","166,659","171,410","140,299","162,154"
,Kenya,"12,828","96,496","74,674","121,402","107,648"
,United Arab Emirates,"24,320","33,928","41,010","13,084","41,592"
,Pakistan,0,,"7,043",7,"7,202"
,Saudi Arabia,"18,674","5,901","25,779","3,953","3,695"
,Egypt,"9,867","26,372","22,848","1,797","1,635"
,"Tanzania, United Republic of",53,219,41,28,336
,Rwanda,0,,,,21
,South Sudan,0,,,4,8
,France,1,4,,6,6
,China,43,2,9,17,5
,Türkiye,1,17,4,,4
,Germany,0,,0,,
,"Iran, Islamic Republic of",13,,,,
,Italy,5,1,,,
,Oman,"8,376","3,695",,,
,India,56,24,2,2,
