Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"34,239","47,870","42,970","78,549","112,461"
,China,,,"8,010","33,633","76,425"
,South Africa,"6,423","14,218","18,036","37,833","35,204"
,India,"10,583","12,975","1,267",,543
,United Arab Emirates,16,"9,056","7,733","1,321",207
,Botswana,,,,,75
,Oman,,"2,619","1,375","5,761",5
,France,,,,,1
,Indonesia,,"1,688","6,548",,
,Kenya,,816,,,
,"Korea, Republic of","1,907","4,339",,,
,Malaysia,,,,2,
,Russian Federation,"9,461","2,093",,,
,Ukraine,"5,849",67,,,
