1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"22,010","23,684","27,356","26,532","32,077"
,Saudi Arabia,"2,096","4,697","5,647","2,159","8,571"
,Kenya,"3,146","3,982","5,844","8,062","8,511"
,Malaysia,"2,081","1,693","1,071",105,"2,494"
,Russian Federation,"4,190","3,746","3,017","3,903","2,259"
,China,"1,289","2,350",871,"2,331","1,211"
,Germany,610,140,69,928,"1,194"
,Norway,"1,204","1,705","2,855","1,006","1,193"
,Qatar,568,"1,044","1,547","1,117","1,015"
,Türkiye,163,84,111,"1,379",986
,Spain,103,170,669,846,917
,Italy,835,559,452,962,810
,Czech Republic,0,,,,555
,India,30,155,40,114,552
,Belgium,151,285,331,52,280
,Jordan,224,602,421,103,252
,Chile,0,,,168,193
,Viet Nam,"1,982",,,970,185
,United Arab Emirates,70,127,"1,000",335,150
,Finland,803,782,537,335,143
,Israel,178,567,319,162,136
,South Africa,2,,,62,102
,Morocco,0,67,978,475,72
,Netherlands,260,319,176,260,70
,Switzerland,3,7,,536,69
1	2,1,2
1,2
