Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"29,137","30,241","29,543","31,380","30,705"
,"Congo, Democratic Republic of the","9,915","10,848","11,141","12,894","15,940"
,South Sudan,"11,450","15,867","17,560","17,065","11,682"
,Rwanda,,20,70,736,"1,899"
,Burundi,"3,680","2,184",765,363,714
,Sudan,,3,,275,387
,Kenya,"2,253",39,7,47,59
,Saudi Arabia,,,,,18
,"Tanzania, United Republic of","1,837","1,280",1,,5
,Zimbabwe,,,,,1
,Congo,1,,,,
,United States of America,,,0,,
