1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"13,222","21,570","16,241","15,137","18,947"
,India,"9,102","9,795","11,933","11,675","16,252"
,China,"1,308","7,816","2,515","1,233","1,895"
,Kenya,53,122,132,201,226
,United Arab Emirates,"1,993",419,641,695,198
,Qatar,125,"1,854",399,876,182
,Saudi Arabia,278,724,248,367,99
,Egypt,2,34,,,45
,"Korea, Republic of",,,,,20
,Malaysia,4,4,9,25,14
,South Africa,4,,1,4,10
,Germany,5,1,135,4,4
,Italy,,,,,1
,Marshall Islands,,27,,,
,Bangladesh,,66,,,
,Belgium,42,,,2,
,Denmark,,,1,,
,France,24,58,10,,
,Indonesia,,50,,,
,"Iran, Islamic Republic of",53,226,24,52,
,Kuwait,115,,,,
,Oman,30,327,193,,
,Netherlands,2,4,,,
,Spain,81,,,,
,Sweden,,1,,,
1	2,1,2
1,2
