Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"36,910","59,875","55,298","55,849","55,922"
,"Congo, Democratic Republic of the","7,515","10,248","12,067","14,592","24,412"
,South Sudan,"23,888","38,861","39,002","31,663","20,787"
,Rwanda,,516,"2,542","2,898","9,208"
,Burundi,"2,979","3,282","1,221",541,896
,Sudan,,,,216,373
,Kenya,94,"4,263",414,"5,882",243
,"Tanzania, United Republic of","2,407","2,662",52,57,3
,Somalia,5,,,,
,Congo,21,44,,,
