1	2	3,1,2,3
1,2,3
Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"1,236,043","1,976,056","2,039,986","2,090,150","2,237,312"
,United Arab Emirates,"609,352","1,223,920","1,237,559","1,029,344","886,355"
,India,"88,493","79,223","170,882","228,903","389,845"
,Oman,"17,437","91,442","58,992","223,153","228,774"
,Kuwait,"48,326","56,195","27,541","231,717","165,141"
,Bahrain,"3,337","4,684","1,053","13,671","157,678"
,France,156,605,"5,506","6,005","121,235"
,Spain,27,38,309,1,"84,677"
,Saudi Arabia,"181,505","192,843","289,065","4,668","56,534"
,Kenya,"39,807","46,742","46,394","53,502","55,359"
,Belgium,"43,467","41,359",726,"55,986","49,869"
,Netherlands,"130,906","40,167","72,794","175,697","11,503"
,Qatar,4,"1,845",450,"4,700","6,382"
,China,675,928,"2,282","1,199","3,914"
,Mozambique,,,,,"3,395"
,"Tanzania, United Republic of","3,100","42,602","2,858","2,443","3,348"
,Singapore,"22,763","7,637","62,827","4,235","2,895"
,Iraq,478,"1,347","2,463","1,394","2,638"
,Denmark,2,595,,,"1,436"
,Türkiye,381,"25,000","2,333","3,329","1,345"
,Germany,764,589,767,"1,303",787
,Poland,26,79,109,208,473
,Egypt,699,782,"1,701",393,463
,Rwanda,175,136,192,278,345
,United Kingdom,118,257,238,276,336
1	2	3,1,2,3
1,2,3
