Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"38,604","46,298","52,752","53,511","60,401"
,"Tanzania, United Republic of","17,090","26,109","30,161","29,864","24,102"
,"Congo, Democratic Republic of the","10,214","13,672","13,285","13,705","22,948"
,Kenya,"5,851","1,110","1,165","3,196","6,520"
,South Sudan,"3,579","4,528","7,272","5,209","3,304"
,Sudan,29,,38,852,"1,784"
,Burundi,"1,711",828,778,453,"1,016"
,Rwanda,45,51,49,198,667
,Congo,,,,33,51
,Saudi Arabia,,,,,7
,Somalia,23,,,,
,Central African Republic,62,,4,,
