1	2,1,2
1,2
Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"1,865","28,951","47,085","41,572","36,032"
,Indonesia,,"11,903","8,926",967,"18,082"
,China,"1,000","10,472","35,176","28,806","13,304"
,United Arab Emirates,206,356,658,"6,442","2,863"
,Brazil,,,,"3,912",852
,India,521,377,648,661,425
,Kenya,30,5,179,149,128
,Spain,,,,267,97
,Germany,,"5,081",604,1,69
,Italy,,303,26,1,56
,Türkiye,,,,,51
,Singapore,,,,,41
,"Hong Kong, China",,,,,34
,Saint Vincent and the Grenadines,,,,,13
,Ukraine,,,,,7
,Japan,,,147,,3
,Belgium,,,,,2
,South Africa,3,71,3,14,2
,United States of America,1,,230,,2
,United Kingdom,2,,29,0,0
,Australia,,,,1,
,"Congo, Democratic Republic of the",,,,1,
,Croatia,,1,,,
,Denmark,15,,,,
,France,,,,5,
1	2,1,2
1,2
