Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"18,251","34,239","47,870","42,970","78,549"
,South Africa,"5,263","6,423","14,218","18,036","37,833"
,China,2,,,"8,010","33,633"
,Oman,0,,"2,619","1,375","5,761"
,United Arab Emirates,"1,938",16,"9,056","7,733","1,321"
,Malaysia,0,,,,2
,Indonesia,0,,"1,688","6,548",
,Italy,8,,,,
,Kenya,0,,816,,
,"Korea, Republic of",0,"1,907","4,339",,
,Qatar,13,,,,
,Russian Federation,"8,694","9,461","2,093",,
,India,"1,186","10,583","12,975","1,267",
,Ukraine,"1,148","5,849",67,,
