Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"19,967","30,075","27,649","37,392","39,415"
,United States of America,"12,932","27,765","23,536","29,950","37,372"
,United Arab Emirates,442,489,579,794,995
,Nigeria,,,,,412
,"Tanzania, United Republic of",75,329,"1,168","1,824",216
,Kenya,,12,1,,194
,Germany,,,,,108
,Oman,34,30,15,16,62
,Saudi Arabia,,,123,,32
,China,2,1,15,21,21
,South Africa,,,,,2
,South Sudan,,,,,1
,Algeria,,,90,"3,646",
,Australia,"1,561","1,359",,,
,Chile,,,"1,915","1,133",
,Netherlands,1,,,,
,Sweden,13,,,,
,Switzerland,"4,907",90,148,5,
,United Kingdom,,,,2,
,Zambia,,,59,,
