Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"3,323","3,767","5,025","3,129","8,586"
,United Arab Emirates,"2,275","2,988","3,385",996,"4,724"
,China,243,368,"1,491","2,029","3,704"
,"Korea, Republic of",47,82,62,44,80
,India,22,71,60,33,45
,Türkiye,192,,,14,19
,Kenya,10,15,23,12,11
,Russian Federation,,,,,5
,Germany,,1,,,
,"Iran, Islamic Republic of",,241,,,
,South Africa,,,4,2,
,Zambia,534,,,,
