1	2	3	4,1,2,3,4
1,2,3,4
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"19,649","22,049","21,781","23,408","31,651"
,China,"6,053","7,498","8,103","8,681","13,086"
,United Arab Emirates,"4,037","5,043","4,420","5,517","6,149"
,South Africa,"3,516","2,780","2,804","2,689","3,003"
,India,"1,483","1,942","2,149","2,047","2,405"
,"Korea, Republic of",151,187,192,201,"2,363"
,Japan,"1,073","1,025",941,834,"1,195"
,Kenya,469,601,452,654,445
,Germany,372,636,566,447,422
,United States of America,409,445,404,449,339
,United Kingdom,375,343,275,288,324
,Thailand,428,354,256,433,320
,France,165,200,154,166,253
,Russian Federation,10,3,,1,241
,Belgium,269,122,173,187,209
,Türkiye,133,92,89,103,162
,Italy,268,309,245,137,114
,Australia,14,11,2,30,106
,Netherlands,33,32,32,21,84
,Portugal,0,19,,40,63
,Brazil,33,26,32,70,39
,"Hong Kong, China",92,35,45,28,32
,Poland,2,1,12,10,32
,Canada,6,17,7,43,23
,Mexico,0,12,8,16,23
1	2	3	4,1,2,3,4
1,2,3,4
