Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"6,411","7,689","7,454","6,647","8,779"
,Kenya,"3,610","4,179","2,612","2,768","2,954"
,Rwanda,,4,"1,080","1,358","2,814"
,South Sudan,"1,617","1,779","2,716","1,646","1,765"
,"Congo, Democratic Republic of the",211,771,630,370,689
,Burundi,595,428,293,365,376
,"Tanzania, United Republic of",337,528,122,133,166
,Ethiopia,,,,,14
,Somalia,22,,,,
,Congo,21,,,,
,Sudan,,,,6,
