1	2	3,1,2,3
1,2,3
Bilateral 4 digits,Exporters,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
,World,"139,536","180,210","145,512","201,867","169,903"
,Japan,"51,280","51,907","41,521","50,046","50,075"
,China,"28,624","47,774","27,468","43,877","46,059"
,India,"13,595","22,255","25,246","16,392","21,908"
,South Africa,"17,570","27,666","20,231","25,297","19,871"
,Thailand,"8,580","12,124","16,581","44,986","17,957"
,Kenya,"1,923","2,204","3,178","3,750","4,672"
,United Kingdom,"5,185","5,847","2,702","4,145","3,233"
,Germany,"3,896","3,260","2,507","1,449","1,295"
,France,"4,440",257,32,"4,627","1,201"
,United Arab Emirates,"2,052","2,106","1,304","1,112","1,032"
,United States of America,335,570,228,561,716
,Australia,550,464,294,505,507
,Russian Federation,94,75,185,122,303
,"Korea, Republic of",133,344,580,376,220
,Netherlands,129,815,840,222,177
,Singapore,38,164,274,278,130
,"Hong Kong, China",117,321,191,50,111
,Sweden,94,101,61,131,78
,"Tanzania, United Republic of",0,364,951,,77
,Italy,292,274,463,110,59
,Belgium,79,95,23,75,49
,Canada,32,43,30,11,33
,"Taipei, Chinese",0,,,,32
,Mexico,0,,,,27
1	2	3,1,2,3
1,2,3
