Bilateral 4 digits,Importers,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Exported value in 2025
,World,"11,760","19,840","10,341","11,287","6,379"
,United Arab Emirates,,648,,"1,596","4,490"
,Mauritius,"1,377",787,"1,691",316,528
,Japan,76,91,111,,463
,Bangladesh,"1,313","2,670","1,952","3,654",459
,India,,115,,325,308
,"Tanzania, United Republic of",,"2,468",572,,94
,Kenya,"2,379","1,633",392,761,36
,Oman,,,,,1
,South Sudan,1,1,,4,1
,Burundi,6,,,,
,China,252,,584,,
,"Congo, Democratic Republic of the",,1,,3,
,France,153,805,,,
,Germany,185,"1,024",270,425,
,Greece,,445,67,,
,Italy,556,504,"1,036",,
,Pakistan,"2,973","3,531","2,369","3,070",
,Portugal,682,"3,158",,812,
,Singapore,70,183,,,
,Viet Nam,,,692,1,
,Switzerland,"1,258",875,,86,
,Thailand,,171,468,1,
,Türkiye,,,134,233,
,United Kingdom,479,731,,,
