Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,"10,806","12,731","13,064","12,995","19,914"
,India,121,"2,957","7,192","9,870","17,136"
,Bahrain,"1,804","1,218","3,095","1,004",863
,United Arab Emirates,"2,028",,,132,636
,"Tanzania, United Republic of",,,,,522
,Indonesia,,,123,745,292
,"Korea, Republic of",955,"5,242","1,707",555,280
,China,21,2,34,243,169
,South Sudan,,,,7,16
,Australia,,485,,,
,Malaysia,,278,134,178,
,Oman,,,379,,
,Qatar,,,283,,
,Russian Federation,"4,923","1,817",56,,
,South Africa,954,733,62,260,
