Bilateral 4 digits,Exporters,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Imported value in 2025
,World,919,"1,084",525,501,"1,118"
,China,93,138,123,164,431
,Kenya,207,217,219,196,385
,United Arab Emirates,536,697,14,103,188
,Türkiye,,,9,,38
,India,4,8,12,2,26
,South Africa,2,8,6,,18
,Chile,,,,,8
,Qatar,21,,132,5,8
,Japan,,,2,,4
,Netherlands,,,,,4
,United States of America,2,4,2,8,3
,"Tanzania, United Republic of",4,,,,2
,France,,,,,1
,United Kingdom,18,9,8,23,1
,Algeria,2,,,,
,Ghana,,1,,,
,Italy,29,,,,
,"Taipei, Chinese",,1,,,
