hs4_code,year,imports_uganda,unit_value_usd_t
3809,2021,1760.8,1000
3809,2022,2264.6,1236
3809,2024,600.0,
3821,2019,557.3,13821
3821,2021,180.4,17138
3821,2022,355.9,15737
3821,2024,1200.0,
3824,2019,12308.4,
3824,2021,14944.0,1706
3824,2022,21196.2,
3824,2024,40423.0,
3901,2019,96396.6,1124
3901,2021,125551.1,1395
3901,2022,162922.1,1449
3901,2024,38000.0,
3902,2019,47736.9,1177
3902,2021,73777.1,1425
3902,2022,83694.3,1358
3902,2024,22000.0,
3904,2019,22608.7,890
3904,2021,31402.0,
3904,2022,32426.4,1222
3904,2024,12000.0,
3907,2019,88173.5,
3907,2021,113725.6,
3907,2022,158605.9,
3907,2024,22000.0,
3912,2019,3556.7,3229
3912,2021,4423.9,3361
3912,2022,7561.0,3914
3912,2024,3200.0,
3913,2019,420.5,2961
3913,2021,718.8,2623
3913,2022,1116.1,4882
3913,2024,1200.0,
3915,2019,536.5,158
3915,2021,1115.0,310
3915,2022,909.5,476
3915,2024,200.0,
3917,2019,7427.4,2122
3917,2021,4182.5,1914
3917,2022,6254.0,2751
3917,2024,14800.0,
3920,2019,27392.1,2473
3920,2021,31264.3,2524
3920,2022,43673.1,2635
3920,2024,12400.0,
3921,2019,7787.8,1341
3921,2021,6152.4,2288
3921,2022,4732.0,2340
3921,2024,8600.0,
3923,2019,25107.3,2122
3923,2021,30642.2,1959
3923,2022,35733.1,2228
3923,2024,18200.0,
3924,2019,6075.9,1680
3924,2021,5552.7,1792
3924,2022,6276.1,1937
3924,2024,9800.0,
3926,2021,13481.4,2511
3926,2022,13607.0,2206
3926,2024,4200.0,
4011,2019,59756.3,2153
4011,2021,60320.7,2041
4011,2022,57446.5,2096
4011,2024,38000.0,
4015,2019,6121.1,3987
4015,2021,17804.5,9857
4015,2022,17183.8,7026
4015,2024,800.0,
4016,2019,2893.6,2489
4016,2021,3775.1,2136
4016,2022,4123.4,2469
4016,2024,1200.0,
5201,2019,2.8,7099
5201,2021,0.2,727
5201,2022,325.5,2953
5201,2024,400.0,
5205,2019,23.1,1400
5205,2021,13.6,2253
5205,2022,242.3,
5205,2024,3200.0,
5402,2019,10757.8,1523
5402,2021,11583.6,1576
5402,2022,19798.7,1527
5402,2024,3800.0,
5503,2019,1769.8,1040
5503,2021,1128.7,1128
5503,2022,1185.8,1276
5503,2024,6200.0,
5504,2019,422.8,1861
5504,2021,348.9,2099
5504,2022,188.6,2150
5504,2024,1200.0,
5513,2019,24197.6,2172
5513,2021,22355.1,2078
5513,2022,18786.8,2403
5513,2024,4800.0,
